face_path,face_positions,artist
images/Frida_Kahlo/Frida_Kahlo_1.jpg,"{'top': 350, 'right': 260, 'bottom': 617, 'left': 0}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_101.jpg,"{'top': 170, 'right': 526, 'bottom': 491, 'left': 205}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_102.jpg,"{'top': 139, 'right': 428, 'bottom': 325, 'left': 242}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_103.jpg,"{'top': 356, 'right': 356, 'bottom': 511, 'left': 201}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_111.jpg,"{'top': 170, 'right': 455, 'bottom': 491, 'left': 134}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_15.jpg,"{'top': 167, 'right': 365, 'bottom': 390, 'left': 142}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_3.jpg,"{'top': 231, 'right': 409, 'bottom': 498, 'left': 141}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_30.jpg,"{'top': 341, 'right': 315, 'bottom': 563, 'left': 92}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_34.jpg,"{'top': 304, 'right': 366, 'bottom': 490, 'left': 180}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_4.jpg,"{'top': 184, 'right': 373, 'bottom': 339, 'left': 218}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_5.jpg,"{'top': 170, 'right': 384, 'bottom': 491, 'left': 63}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_52.jpg,"{'top': 201, 'right': 468, 'bottom': 468, 'left': 200}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_58.jpg,"{'top': 180, 'right': 448, 'bottom': 366, 'left': 262}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_60.jpg,"{'top': 290, 'right': 504, 'bottom': 675, 'left': 118}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_65.jpg,"{'top': 266, 'right': 340, 'bottom': 489, 'left': 117}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_7.jpg,"{'top': 420, 'right': 455, 'bottom': 741, 'left': 134}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_72.jpg,"{'top': 266, 'right': 414, 'bottom': 489, 'left': 191}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_80.jpg,"{'top': 134, 'right': 455, 'bottom': 455, 'left': 134}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_83.jpg,"{'top': 233, 'right': 664, 'bottom': 788, 'left': 110}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_85.jpg,"{'top': 171, 'right': 438, 'bottom': 439, 'left': 171}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_86.jpg,"{'top': 150, 'right': 408, 'bottom': 305, 'left': 253}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_91.jpg,"{'top': 222, 'right': 448, 'bottom': 407, 'left': 262}",Frida_Kahlo
images/Frida_Kahlo/Frida_Kahlo_96.jpg,"{'top': 246, 'right': 605, 'bottom': 708, 'left': 142}",Frida_Kahlo
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_10.jpg,"{'top': 418, 'right': 972, 'bottom': 973, 'left': 418}",Albrecht_Du¦êrer
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_100.jpg,"{'top': 201, 'right': 409, 'bottom': 468, 'left': 141}",Albrecht_Du¦êrer
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_104.jpg,"{'top': 408, 'right': 459, 'bottom': 563, 'left': 304}",Albrecht_Du¦êrer
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_105.jpg,"{'top': 313, 'right': 776, 'bottom': 634, 'left': 455}",Albrecht_Du¦êrer
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_106.jpg,"{'top': 605, 'right': 707, 'bottom': 1067, 'left': 245}",Albrecht_Du¦êrer
images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_109.jpg,"{'top': 1390, 'right': 1062, 'bottom': 1657, 'left': 795}",Albrecht_Du¦êrer
