face_path,artist
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_10.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_100.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_106.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_113.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_114.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_119.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_12.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_137.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_141.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_144.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_145.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_148.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_15.jpg,Albrecht_Du¦êrer
/media/maparla/Almacen1/Datasets/art/images/Albrecht_Du¦êrer/Albrecht_Du¦êrer_158.jpg,Albrecht_Du¦êrer
